athlete_id,rank,name,country,round,round_score,round_rank,ascent,ascent_top,ascent_top_tries,ascent_zone,ascent_zone_tries,sex,event_id,starting_group,event,location
11490,4,Roberts Toby,GBR,semi-final,2T3z 4 6,4,2,FALSE,5,FALSE,5,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11490,4,Roberts Toby,GBR,semi-final,2T3z 4 6,4,3,FALSE,3,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
11490,4,Roberts Toby,GBR,semi-final,2T3z 4 6,4,4,TRUE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
532,5,Avezou Sam,FRA,qualification,3T5z 4 8,7,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
532,5,Avezou Sam,FRA,qualification,3T5z 4 8,7,2,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
532,5,Avezou Sam,FRA,qualification,3T5z 4 8,7,3,FALSE,3,TRUE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
532,5,Avezou Sam,FRA,qualification,3T5z 4 8,7,4,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
532,5,Avezou Sam,FRA,qualification,3T5z 4 8,7,5,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
532,5,Avezou Sam,FRA,semi-final,2T3z 5 6,5,1,TRUE,4,TRUE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
532,5,Avezou Sam,FRA,semi-final,2T3z 5 6,5,2,FALSE,4,FALSE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
532,5,Avezou Sam,FRA,semi-final,2T3z 5 6,5,3,FALSE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
532,5,Avezou Sam,FRA,semi-final,2T3z 5 6,5,4,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2307,6,NARASAKI Meichi,JPN,qualification,4T5z 7 6,7,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2307,6,NARASAKI Meichi,JPN,qualification,4T5z 7 6,7,2,TRUE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2307,6,NARASAKI Meichi,JPN,qualification,4T5z 7 6,7,3,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2307,6,NARASAKI Meichi,JPN,qualification,4T5z 7 6,7,4,FALSE,2,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2307,6,NARASAKI Meichi,JPN,qualification,4T5z 7 6,7,5,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2307,6,NARASAKI Meichi,JPN,semi-final,2T2z 3 3,6,1,TRUE,1,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2307,6,NARASAKI Meichi,JPN,semi-final,2T2z 3 3,6,2,FALSE,3,FALSE,3,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2307,6,NARASAKI Meichi,JPN,semi-final,2T2z 3 3,6,3,FALSE,4,FALSE,4,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2307,6,NARASAKI Meichi,JPN,semi-final,2T2z 3 3,6,4,TRUE,2,TRUE,2,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
2052,7,CHON Jongwon,KOR,qualification,3T4z 7 8,11,1,TRUE,3,TRUE,1,M,1353,NA,IFSC World Cup Keqiao 2024,Keqiao
